seed,N,epsilon,accepted,alpha_mean,alpha_abs_error,beta_mean,beta_abs_error,sigma_eta_mean,sigma_eta_abs_error
1,20000,1.0,1119,-0.9660043395285265,0.4660043395285265,0.906529877495249,0.04347012250475091,0.3415898400050828,0.04158984000508281
1,20000,0.5,83,-0.8605854164505337,0.36058541645053366,0.9130212013974263,0.03697879860257369,0.34869746704613636,0.04869746704613637
1,20000,0.2,2,-0.9643433642529131,0.4643433642529131,0.9029918463845668,0.0470081536154332,0.3380527490107087,0.03805274901070871
1,20000,0.1,0,,,,,,
2,1000,2.0,471,-1.031216440317567,0.531216440317567,0.929959722000326,0.020040277999674005,0.2402865369306097,0.059713463069390293
2,1000,1.0,64,-1.010200692527739,0.5102006925277389,0.9027811023838374,0.0472188976161626,0.34637697300663844,0.046376973006638456
2,1000,0.5,6,-0.8343323135655559,0.3343323135655559,0.9138043794253138,0.03619562057468617,0.3325703150333223,0.032570315033322306
2,1000,0.2,0,,,,,,
2,1000,0.1,0,,,,,,
2,2000,2.0,941,-1.0508669132885247,0.5508669132885247,0.9297081439001743,0.020291856099825645,0.24241462614858414,0.05758537385141585
2,2000,1.0,133,-0.9995521793870017,0.4995521793870017,0.9024090258546892,0.04759097414531077,0.3528549698227303,0.0528549698227303
2,2000,0.5,14,-0.8640631136010998,0.3640631136010998,0.9118690198288705,0.03813098017112948,0.3444314494216679,0.044431449421667935
2,2000,0.2,0,,,,,,
2,2000,0.1,0,,,,,,
2,5000,2.0,2289,-1.0475014084293255,0.5475014084293255,0.9314691000130185,0.01853089998698143,0.24360627425349876,0.05639372574650123
2,5000,1.0,298,-0.9591543911649065,0.45915439116490653,0.9066984069274079,0.04330159307259207,0.3444366455250967,0.044436645525096685
2,5000,0.5,25,-0.7728068083095624,0.2728068083095624,0.9219374581467641,0.028062541853235867,0.34041806551226983,0.04041806551226984
2,5000,0.2,1,-0.2380587214133676,0.2619412785866324,0.9752909279295083,0.025290927929508378,0.17845471844000277,0.12154528155999722
2,5000,0.1,0,,,,,,
2,10000,2.0,4629,-1.0508365410769123,0.5508365410769123,0.9319473272185868,0.018052672781413204,0.24178234222730055,0.05821765777269944
2,10000,1.0,581,-0.9740344251943777,0.47403442519437766,0.9053191668485177,0.0446808331514823,0.3448762947332283,0.044876294733228295
2,10000,0.5,46,-0.8133667685851563,0.31336676858515633,0.9180777519102518,0.031922248089748195,0.3455858831929032,0.04558588319290319
2,10000,0.2,2,-0.22685924697426407,0.2731407530257359,0.9767625153611393,0.026762515361139383,0.22095493301260166,0.07904506698739833
2,10000,0.1,0,,,,,,
2,20000,2.0,9250,-1.0508619920716569,0.5508619920716569,0.9319418597723433,0.018058140227656616,0.24161903480193886,0.05838096519806113
2,20000,1.0,1166,-0.9751780618389142,0.4751780618389142,0.9056762214245637,0.044323778575436235,0.34228569824184135,0.04228569824184136
2,20000,0.5,85,-0.8235438182037945,0.3235438182037945,0.9167768842709364,0.03322311572906356,0.342969275654221,0.042969275654220984
2,20000,0.2,4,-0.33505363898255314,0.16494636101744686,0.9654456777840648,0.015445677784064804,0.23990416909766327,0.06009583090233672
2,20000,0.1,0,,,,,,
3,1000,2.0,469,-1.0563486183892727,0.5563486183892727,0.9330688639725903,0.0169311360274097,0.24008640474456866,0.05991359525543133
3,1000,1.0,53,-0.9860034847844317,0.48600348478443167,0.904240269871841,0.045759730128158926,0.3310602798866093,0.03106027988660931
3,1000,0.5,4,-1.014785075957176,0.5147850759571759,0.8957299308835034,0.054270069116496567,0.40643650629520917,0.10643650629520918
3,1000,0.2,0,,,,,,
3,1000,0.1,0,,,,,,
3,2000,2.0,949,-1.0607138315458775,0.5607138315458775,0.9313605819202037,0.0186394180797963,0.2473090718270814,0.052690928172918594
3,2000,1.0,112,-0.9426193081993022,0.4426193081993022,0.908231451612206,0.04176854838779398,0.3363141512109989,0.0363141512109989
3,2000,0.5,8,-0.7678513516982173,0.2678513516982173,0.9226396877448353,0.027360312255164665,0.33694332607117594,0.03694332607117595
3,2000,0.2,0,,,,,,
3,2000,0.1,0,,,,,,
3,5000,2.0,2355,-1.0505023380099092,0.5505023380099092,0.9316021786989963,0.018397821301003647,0.24656388506897756,0.05343611493102243
3,5000,1.0,303,-0.9710793445174455,0.4710793445174455,0.9059583668035204,0.04404163319647958,0.34901817593637047,0.04901817593637048
