alpha,beta,sigma_eta,distance,weight
-0.38444278542084337,0.9670671558343432,0.3719311035462267,4.0018317805527435,0.001865954355152642
-0.4980851908882664,0.9676162402589286,0.3605186737847098,3.712979443931153,0.0018834215118713482
-0.15904803529856854,0.982447277408353,0.44852621254583935,4.552016788897504,0.003036345319316546
-0.7894489637092544,0.9369134840424226,0.4508801010000544,4.027375683271501,0.0016126596579459642
-0.786118211005216,0.92767068979521,0.4690451938049205,4.106883799495707,0.0016886156065116411
-0.6476667699765768,0.9283095042145243,0.4943637640669287,3.116703095761154,0.0018206767772183195
-0.22885598337192234,0.9693208580462581,0.4410402304969459,3.7244297950686125,0.0022409209811629404
-0.461633027456916,0.9352712143907355,0.46426856487394436,3.7392481680211307,0.001709609717009922
-1.1025930651449798,0.9147274935023151,0.47469216739239356,4.117995835054046,0.0023012247580208507
-0.30672291957712666,0.9725717012713162,0.4580697095001892,4.127038076255368,0.0022526727923406465
-0.5767707091108801,0.933345835285837,0.4759670418667921,3.885067065820905,0.001681645236873555
-0.8355547900533059,0.939194478696929,0.47059945691021904,4.589891380637418,0.001737446391149512
-0.6738953051260934,0.9528982594016524,0.38787822761204327,3.453932609315671,0.001652886827260341
-0.47210296157925424,0.9541710748523232,0.36383636551714515,4.105658199820528,0.001728268837272506
-0.3629327391181242,0.9504848784725759,0.4046623704756185,2.656604687072458,0.0016866131102247388
-0.24754709605436717,0.972175034769264,0.36846735597600067,3.321226351084805,0.0021661941870174547
-1.1761930976470216,0.9252896939638359,0.47489811682553906,3.4199160451408495,0.002521858318998478
-0.21253929527208074,0.9755334362194161,0.22676704146015658,4.545606897403597,0.004359463040873139
-0.2783164435895048,0.9646611548774731,0.3647558937062356,4.175759755168215,0.0020008875271853785
-0.6118628533152725,0.9507152113146686,0.3567962282364664,3.179568599694815,0.0017733308833219274
-0.4474881029306042,0.9525329455521523,0.37624957916026425,2.7869586466425473,0.0016761821722734661
-0.39286362893927546,0.9701187574199098,0.43369602619641423,4.326102461836152,0.0019103355984558387
-0.8500220857213552,0.9398225108546916,0.4972453833117496,4.331003447431949,0.0019524456145639559
-0.6814137804007645,0.9486276456324073,0.38634501396658616,4.54195385477783,0.0016368941727561996
-0.6678797466280822,0.9333987013586748,0.4335106546517516,4.4473183098485185,0.0015379692004160908
-0.6141820795248372,0.937990851163769,0.45527163313822466,4.471582683891155,0.0015586926820935494
-0.2811213796987622,0.9680499161486591,0.3804334611899557,2.985671375642084,0.0019943217393887406
-0.5929804835145768,0.9401974861702956,0.4312302145662484,3.891785036335534,0.0015149850152013568
-0.8074113880567338,0.936056228585886,0.45773134940205956,3.913895781852213,0.0016459561247521872
-0.3292347087463675,0.9696322679889081,0.3727137918293536,1.689710480499995,0.001965919375176972
-0.2521098565674107,0.980463591523675,0.4382765533179006,2.291466831947743,0.0025189353152145263
-0.5674732711065372,0.9497150597238104,0.4976004357041547,3.9234569415176934,0.0018851977126245786
